id,bsf_scheme_id,bsf_stage_id
1,9,2
2,9,3
3,26,3
4,25,3
5,8,3
6,33,2
7,33,3
8,1,1
9,1,2
10,1,3
11,30,1
12,30,2
13,30,3
14,24,2
15,24,3
16,23,3
17,22,2
18,22,3
19,14,1
20,14,2
21,14,3
22,12,3
23,5,2
24,5,3
25,15,1
26,15,2
27,15,3
28,17,1
29,17,2
30,17,3
31,32,2
32,32,3
33,18,3
34,16,3
35,19,3
36,27,2
37,27,3
38,6,3
39,3,2
40,3,3
41,7,1
42,7,2
43,2,2
44,2,3
45,31,3
46,35,1
47,34,3
48,28,2
49,28,3
50,11,2
51,11,3
52,21,2
53,21,3
54,10,1
55,10,2
56,10,3
57,29,1
58,29,2
59,29,3
60,20,2
61,20,3
62,4,2
63,4,3
64,9,2
65,9,3
66,26,3
67,25,3
68,8,3
69,33,2
70,33,3
71,1,1
72,1,2
73,1,3
74,30,1
75,30,2
76,30,3
77,24,2
78,24,3
79,23,3
80,22,2
81,22,3
82,14,1
83,14,2
84,14,3
85,12,3
86,5,2
87,5,3
88,15,1
89,15,2
90,15,3
91,17,1
92,17,2
93,17,3
94,32,2
95,32,3
96,18,3
97,16,3
98,19,3
99,27,2
100,27,3
101,6,3
102,3,2
103,3,3
104,7,1
105,7,2
106,2,2
107,2,3
108,31,3
109,35,1
110,34,3
111,28,2
112,28,3
113,11,2
114,11,3
115,21,2
116,21,3
117,10,1
118,10,2
119,10,3
120,29,1
121,29,2
122,29,3
123,20,2
124,20,3
125,4,2
126,4,3
127,50,1
128,50,2
129,50,3
130,37,2
131,37,3
132,45,2
133,45,3
134,39,2
135,39,3
136,38,2
137,38,3
138,49,3
139,48,3
140,42,1
141,40,2
142,40,3
143,44,2
144,44,3
145,43,2
146,43,3
147,69,1
148,69,2
149,69,3
150,70,1
151,70,2
152,70,3
153,57,2
154,57,3
155,67,3
156,60,1
157,60,2
158,60,3
159,51,2
160,51,3
161,52,2
162,52,3
163,53,2
164,53,3
165,59,2
166,59,3
167,54,2
168,54,3
169,56,1
170,74,2
171,74,3
172,46,1
173,46,2
174,46,3
175,75,1
176,75,2
177,75,3
178,66,2
179,66,3
180,61,2
181,61,3
182,62,2
183,62,3
184,36,1
185,36,2
186,36,3
187,72,1
188,72,2
189,72,3
190,73,1
191,73,2
192,73,3
193,47,2
194,47,3
195,71,2
196,71,3
197,50,1
198,50,2
199,50,3
200,37,2
201,37,3
202,45,2
203,45,3
204,39,2
205,39,3
206,38,2
207,38,3
208,49,3
209,48,3
210,42,1
211,40,2
212,40,3
213,44,2
214,44,3
215,43,2
216,43,3
217,69,1
218,69,2
219,69,3
220,70,1
221,70,2
222,70,3
223,57,2
224,57,3
225,67,3
226,60,1
227,60,2
228,60,3
229,51,2
230,51,3
231,52,2
232,52,3
233,53,2
234,53,3
235,59,2
236,59,3
237,54,2
238,54,3
239,56,1
240,74,2
241,74,3
242,46,1
243,46,2
244,46,3
245,75,1
246,75,2
247,75,3
248,66,2
249,66,3
250,61,2
251,61,3
252,62,2
253,62,3
254,36,1
255,36,2
256,36,3
257,72,1
258,72,2
259,72,3
260,73,1
261,73,2
262,73,3
263,47,2
264,47,3
265,71,2
266,71,3
267,100,2
268,100,3
269,98,1
270,98,2
271,98,3
272,77,2
273,77,3
274,104,2
275,104,3
276,107,2
277,107,3
278,88,2
279,88,3
280,90,1
281,90,2
282,90,3
283,76,2
284,78,1
285,78,2
286,79,1
287,79,2
288,91,3
289,81,2
290,81,3
291,109,1
292,109,2
293,84,3
294,83,2
295,83,3
296,92,1
297,92,2
298,96,2
299,96,3
300,97,2
301,97,3
302,105,2
303,105,3
304,94,3
305,108,1
306,108,2
307,108,3
308,86,2
309,86,3
310,87,1
311,87,2
312,110,1
313,103,2
314,93,2
315,93,3
316,102,2
317,102,3
318,99,1
319,99,2
320,101,2
321,101,3
322,95,2
323,95,3
324,106,1
325,106,2
326,106,3
327,89,2
328,89,3
329,85,2
330,85,3
331,82,2
332,82,3
333,100,2
334,100,3
335,98,1
336,98,2
337,98,3
338,77,2
339,77,3
340,104,2
341,104,3
342,107,2
343,107,3
344,88,2
345,88,3
346,90,1
347,90,2
348,90,3
349,76,2
350,78,1
351,78,2
352,79,1
353,79,2
354,91,3
355,81,2
356,81,3
357,109,1
358,109,2
359,84,3
360,83,2
361,83,3
362,92,1
363,92,2
364,96,2
365,96,3
366,97,2
367,97,3
368,105,2
369,105,3
370,94,3
371,108,1
372,108,2
373,108,3
374,86,2
375,86,3
376,87,1
377,87,2
378,110,1
379,103,2
380,93,2
381,93,3
382,102,2
383,102,3
384,99,1
385,99,2
386,101,2
387,101,3
388,95,2
389,95,3
390,106,1
391,106,2
392,106,3
393,89,2
394,89,3
395,85,2
396,85,3
397,82,2
398,82,3
399,129,1
400,131,2
401,131,3
402,111,1
403,111,2
404,111,3
405,112,2
406,112,3
407,123,2
408,123,3
409,119,1
410,119,2
411,119,3
412,138,2
413,138,3
414,137,2
415,137,3
416,115,2
417,115,3
418,116,2
419,116,3
420,117,1
421,117,2
422,117,3
423,132,2
424,132,3
425,130,2
426,130,3
427,134,2
428,134,3
429,141,2
430,141,3
431,136,2
432,136,3
433,127,2
434,127,3
435,118,2
436,118,3
437,113,2
438,113,3
439,139,2
440,139,3
441,122,2
442,122,3
443,144,2
444,144,3
445,110,2
446,143,2
447,143,3
448,140,2
449,140,3
450,125,2
451,125,3
452,121,2
453,121,3
454,124,3
455,133,2
456,133,3
457,135,2
458,135,3
459,128,1
460,128,2
461,128,3
462,126,1
463,126,2
464,126,3
465,142,2
466,142,3
467,114,1
468,114,2
469,114,3
470,129,1
471,131,2
472,131,3
473,111,1
474,111,2
475,111,3
476,112,2
477,112,3
478,123,2
479,123,3
480,119,1
481,119,2
482,119,3
483,138,2
484,138,3
485,137,2
486,137,3
487,115,2
488,115,3
489,116,2
490,116,3
491,117,1
492,117,2
493,117,3
494,132,2
495,132,3
496,130,2
497,130,3
498,134,2
499,134,3
500,141,2
501,141,3
502,136,2
503,136,3
504,127,2
505,127,3
506,118,2
507,118,3
508,113,2
509,113,3
510,139,2
511,139,3
512,122,2
513,122,3
514,144,2
515,144,3
516,110,2
517,143,2
518,143,3
519,140,2
520,140,3
521,125,2
522,125,3
523,121,2
524,121,3
525,124,3
526,133,2
527,133,3
528,135,2
529,135,3
530,128,1
531,128,2
532,128,3
533,126,1
534,126,2
535,126,3
536,142,2
537,142,3
538,114,1
539,114,2
540,114,3
541,152,2
542,152,3
543,173,3
544,175,1
545,151,1
546,150,2
547,149,2
548,149,3
549,160,2
550,160,3
551,167,3
552,145,2
553,145,3
554,147,2
555,147,3
556,170,2
557,170,3
558,155,3
559,161,2
560,161,3
561,165,1
562,165,2
563,165,3
564,164,1
565,164,2
566,164,3
567,162,1
568,162,2
569,162,3
570,166,1
571,166,2
572,166,3
573,163,2
574,163,3
575,174,2
576,174,3
577,171,2
578,171,3
579,177,2
580,177,3
581,146,1
582,154,1
583,154,2
584,153,2
585,153,3
586,172,2
587,172,3
588,159,3
589,158,2
590,158,3
591,157,2
592,157,3
593,156,2
594,156,3
595,169,2
596,169,3
597,148,1
598,176,1
599,176,2
600,176,3
601,168,2
602,168,3
603,152,2
604,152,3
605,173,3
606,175,1
607,151,1
608,150,2
609,149,2
610,149,3
611,160,2
612,160,3
613,167,3
614,145,2
615,145,3
616,147,2
617,147,3
618,170,2
619,170,3
620,155,3
621,161,2
622,161,3
623,165,1
624,165,2
625,165,3
626,164,1
627,164,2
628,164,3
629,162,1
630,162,2
631,162,3
632,166,1
633,166,2
634,166,3
635,163,2
636,163,3
637,174,2
638,174,3
639,171,2
640,171,3
641,177,2
642,177,3
643,146,1
644,154,1
645,154,2
646,153,2
647,153,3
648,172,2
649,172,3
650,159,3
651,158,2
652,158,3
653,157,2
654,157,3
655,156,2
656,156,3
657,169,2
658,169,3
659,148,1
660,176,1
661,176,2
662,176,3
663,168,2
664,168,3
665,184,2
666,184,3
667,198,1
668,188,2
669,188,3
670,178,1
671,178,2
672,178,3
673,203,1
674,203,2
675,203,3
676,210,3
677,209,3
678,207,2
679,207,3
680,197,2
681,197,3
682,201,3
683,206,2
684,206,3
685,179,2
686,179,3
687,187,1
688,187,2
689,187,3
690,200,2
691,205,1
692,205,2
693,205,3
694,183,1
695,199,3
696,186,1
697,186,2
698,186,3
699,189,1
700,189,2
701,189,3
702,196,2
703,196,3
704,194,2
705,194,3
706,195,2
707,195,3
708,190,2
709,190,3
710,208,2
711,185,1
712,185,2
713,185,3
714,191,1
715,191,2
716,191,3
717,192,2
718,192,3
719,202,2
720,202,3
721,204,2
722,204,3
723,182,2
724,182,3
725,180,1
726,180,2
727,180,3
728,193,2
729,193,3
730,181,1
731,181,2
732,181,3
733,184,2
734,184,3
735,198,1
736,188,2
737,188,3
738,178,1
739,178,2
740,178,3
741,203,1
742,203,2
743,203,3
744,210,3
745,209,3
746,207,2
747,207,3
748,197,2
749,197,3
750,201,3
751,206,2
752,206,3
753,179,2
754,179,3
755,187,1
756,187,2
757,187,3
758,200,2
759,205,1
760,205,2
761,205,3
762,183,1
763,199,3
764,186,1
765,186,2
766,186,3
767,189,1
768,189,2
769,189,3
770,196,2
771,196,3
772,194,2
773,194,3
774,195,2
775,195,3
776,190,2
777,190,3
778,208,2
779,185,1
780,185,2
781,185,3
782,191,1
783,191,2
784,191,3
785,192,2
786,192,3
787,202,2
788,202,3
789,204,2
790,204,3
791,182,2
792,182,3
793,180,1
794,180,2
795,180,3
796,193,2
797,193,3
798,181,1
799,181,2
800,181,3
801,226,1
802,226,2
803,231,2
804,212,3
805,211,3
806,242,2
807,242,3
808,225,2
809,225,3
810,213,2
811,213,3
812,217,2
813,217,3
814,216,2
815,216,3
816,219,2
817,219,3
818,220,2
819,220,3
820,232,2
821,232,3
822,235,2
823,235,3
824,221,2
825,221,3
826,246,1
827,246,2
828,246,3
829,245,1
830,245,2
831,245,3
832,228,1
833,228,2
834,228,3
835,224,2
836,224,3
837,239,2
838,239,3
839,233,2
840,233,3
841,234,2
842,234,3
843,244,2
844,244,3
845,223,2
846,223,3
847,229,1
848,227,3
849,222,2
850,222,3
851,241,2
852,241,3
853,238,1
854,243,2
855,243,3
856,240,2
857,240,3
858,218,2
859,218,3
860,215,1
861,215,2
862,230,2
863,230,3
864,214,2
865,214,3
866,226,1
867,226,2
868,231,2
869,212,3
870,211,3
871,242,2
872,242,3
873,225,2
874,225,3
875,213,2
876,213,3
877,217,2
878,217,3
879,216,2
880,216,3
881,219,2
882,219,3
883,220,2
884,220,3
885,232,2
886,232,3
887,235,2
888,235,3
889,221,2
890,221,3
891,246,1
892,246,2
893,246,3
894,245,1
895,245,2
896,245,3
897,228,1
898,228,2
899,228,3
900,224,2
901,224,3
902,239,2
903,239,3
904,233,2
905,233,3
906,234,2
907,234,3
908,244,2
909,244,3
910,223,2
911,223,3
912,229,1
913,227,3
914,222,2
915,222,3
916,241,2
917,241,3
918,238,1
919,243,2
920,243,3
921,240,2
922,240,3
923,218,2
924,218,3
925,215,1
926,215,2
927,230,2
928,230,3
929,214,2
930,214,3
931,272,2
932,272,3
933,258,2
934,258,3
935,257,2
936,257,3
937,256,2
938,256,3
939,255,2
940,255,3
941,253,2
942,253,3
943,252,2
944,252,3
945,266,2
946,266,3
947,270,2
948,270,3
949,264,3
950,265,2
951,265,3
952,276,2
953,276,3
954,279,2
955,279,3
956,278,2
957,278,3
958,250,2
959,250,3
960,251,2
961,251,3
962,259,1
963,259,2
964,259,3
965,269,1
966,269,2
967,269,3
968,268,1
969,268,2
970,268,3
971,267,1
972,267,2
973,267,3
974,262,1
975,262,2
976,248,2
977,248,3
978,274,2
979,274,3
980,273,2
981,273,3
982,271,2
983,271,3
984,261,2
985,261,3
986,254,2
987,254,3
988,275,3
989,249,3
990,247,2
991,247,3
992,277,2
993,277,3
994,260,3
995,263,2
996,263,3
997,272,2
998,272,3
999,258,2
1000,258,3
1001,257,2
1002,257,3
1003,256,2
1004,256,3
1005,255,2
1006,255,3
1007,253,2
1008,253,3
1009,252,2
1010,252,3
1011,266,2
1012,266,3
1013,270,2
1014,270,3
1015,264,3
1016,265,2
1017,265,3
1018,276,2
1019,276,3
1020,279,2
1021,279,3
1022,278,2
1023,278,3
1024,250,2
1025,250,3
1026,251,2
1027,251,3
1028,259,1
1029,259,2
1030,259,3
1031,269,1
1032,269,2
1033,269,3
1034,268,1
1035,268,2
1036,268,3
1037,267,1
1038,267,2
1039,267,3
1040,262,1
1041,262,2
1042,248,2
1043,248,3
1044,274,2
1045,274,3
1046,273,2
1047,273,3
1048,271,2
1049,271,3
1050,261,2
1051,261,3
1052,254,2
1053,254,3
1054,275,3
1055,249,3
1056,247,2
1057,247,3
1058,277,2
1059,277,3
1060,260,3
1061,263,2
1062,263,3
1063,293,2
1064,293,3
1065,280,2
1066,280,3
1067,281,2
1068,281,3
1069,296,2
1070,296,3
1071,296,4
1072,288,2
1073,288,3
1074,298,3
1075,302,2
1076,302,3
1077,299,2
1078,299,3
1079,311,2
1080,311,3
1081,287,1
1082,287,2
1083,287,3
1084,305,2
1085,305,3
1086,303,2
1087,303,3
1088,292,2
1089,292,3
1090,285,3
1091,291,2
1092,291,3
1093,306,3
1094,283,2
1095,283,3
1096,284,2
1097,284,3
1098,289,2
1099,289,3
1100,286,3
1101,282,2
1102,282,3
1103,308,2
1104,308,3
1105,300,1
1106,300,2
1107,300,3
1108,297,2
1109,297,3
1110,290,2
1111,290,3
1112,313,2
1113,313,3
1114,301,2
1115,301,3
1116,295,3
1117,307,2
1118,307,3
1119,310,2
1120,310,3
1121,312,1
1122,312,2
1123,312,3
1124,294,2
1125,294,3
1126,309,3
1127,304,1
1128,293,2
1129,293,3
1130,280,2
1131,280,3
1132,281,2
1133,281,3
1134,296,2
1135,296,3
1136,296,4
1137,288,2
1138,288,3
1139,298,3
1140,302,2
1141,302,3
1142,299,2
1143,299,3
1144,311,2
1145,311,3
1146,287,1
1147,287,2
1148,287,3
1149,305,2
1150,305,3
1151,303,2
1152,303,3
1153,292,2
1154,292,3
1155,285,3
1156,291,2
1157,291,3
1158,306,3
1159,283,2
1160,283,3
1161,284,2
1162,284,3
1163,289,2
1164,289,3
1165,286,3
1166,282,2
1167,282,3
1168,308,2
1169,308,3
1170,300,1
1171,300,2
1172,300,3
1173,297,2
1174,297,3
1175,290,2
1176,290,3
1177,313,2
1178,313,3
1179,301,2
1180,301,3
1181,295,3
1182,307,2
1183,307,3
1184,310,2
1185,310,3
1186,312,1
1187,312,2
1188,312,3
1189,294,2
1190,294,3
1191,309,3
1192,304,1
1193,332,2
1194,332,3
1195,333,1
1196,333,2
1197,333,3
1198,334,2
1199,334,3
1200,320,2
1201,320,3
1202,316,1
1203,316,2
1204,328,2
1205,328,3
1206,323,2
1207,323,3
1208,321,2
1209,321,3
1210,339,2
1211,339,3
1212,337,2
1213,337,3
1214,338,2
1215,338,3
1216,318,2
1217,318,3
1218,325,1
1219,325,2
1220,325,3
1221,336,1
1222,330,3
1223,329,2
1224,329,3
1225,342,2
1226,342,3
1227,340,1
1228,340,2
1229,340,3
1230,324,3
1231,317,2
1232,317,3
1233,326,2
1234,326,3
1235,314,3
1236,315,3
1237,322,3
1238,346,1
1239,346,2
1240,346,3
1241,331,2
1242,331,3
1243,343,3
1244,345,1
1245,345,2
1246,345,3
1247,344,1
1248,344,2
1249,344,3
1250,319,3
1251,335,2
1252,335,3
1253,327,2
1254,327,3
1255,341,2
1256,341,3
1257,332,2
1258,332,3
1259,333,1
1260,333,2
1261,333,3
1262,334,2
1263,334,3
1264,320,2
1265,320,3
1266,316,1
1267,316,2
1268,328,2
1269,328,3
1270,323,2
1271,323,3
1272,321,2
1273,321,3
1274,339,2
1275,339,3
1276,337,2
1277,337,3
1278,338,2
1279,338,3
1280,318,2
1281,318,3
1282,325,1
1283,325,2
1284,325,3
1285,336,1
1286,330,3
1287,329,2
1288,329,3
1289,342,2
1290,342,3
1291,340,1
1292,340,2
1293,340,3
1294,324,3
1295,317,2
1296,317,3
1297,326,2
1298,326,3
1299,314,3
1300,315,3
1301,322,3
1302,346,1
1303,346,2
1304,346,3
1305,331,2
1306,331,3
1307,343,3
1308,345,1
1309,345,2
1310,345,3
1311,344,1
1312,344,2
1313,344,3
1314,319,3
1315,335,2
1316,335,3
1317,327,2
1318,327,3
1319,341,2
1320,341,3
1321,370,1
1322,370,2
1323,370,3
1324,372,3
1325,381,2
1326,381,3
1327,350,1
1328,360,2
1329,360,3
1330,360,4
1331,361,2
1332,361,3
1333,361,4
1334,359,3
1335,377,2
1336,377,3
1337,357,2
1338,357,3
1339,356,2
1340,356,3
1341,375,1
1342,375,2
1343,358,2
1344,358,3
1345,383,2
1346,383,3
1347,376,1
1348,376,2
1349,376,3
1350,355,3
1351,374,1
1352,374,2
1353,374,3
1354,373,2
1355,373,3
1356,371,2
1357,371,3
1358,354,3
1359,366,3
1360,378,2
1361,378,3
1362,352,1
1363,351,3
1364,382,2
1365,382,3
1366,353,3
1367,362,2
1368,362,3
1369,380,2
1370,380,3
1371,368,2
1372,368,3
1373,364,3
1374,365,2
1375,365,3
1376,363,2
1377,367,2
1378,367,3
1379,369,2
1380,369,3
1381,370,1
1382,370,2
1383,370,3
1384,372,3
1385,381,2
1386,381,3
1387,350,1
1388,360,2
1389,360,3
1390,360,4
1391,361,2
1392,361,3
1393,361,4
1394,359,3
1395,377,2
1396,377,3
1397,357,2
1398,357,3
1399,356,2
1400,356,3
1401,375,1
1402,375,2
1403,358,2
1404,358,3
1405,383,2
1406,383,3
1407,376,1
1408,376,2
1409,376,3
1410,355,3
1411,374,1
1412,374,2
1413,374,3
1414,373,2
1415,373,3
1416,371,2
1417,371,3
1418,354,3
1419,366,3
1420,378,2
1421,378,3
1422,352,1
1423,351,3
1424,382,2
1425,382,3
1426,353,3
1427,362,2
1428,362,3
1429,380,2
1430,380,3
1431,368,2
1432,368,3
1433,364,3
1434,365,2
1435,365,3
1436,363,2
1437,367,2
1438,367,3
1439,369,2
1440,369,3
1441,403,2
1442,403,3
1443,405,2
1444,405,3
1445,388,3
1446,389,3
1447,392,3
1448,384,3
1449,386,3
1450,387,3
1451,391,3
1452,390,3
1453,385,3
1454,394,2
1455,394,3
1456,413,1
1457,413,2
1458,412,1
1459,412,2
1460,412,3
1461,399,2
1462,399,3
1463,398,2
1464,398,3
1465,410,3
1466,409,2
1467,409,3
1468,419,1
1469,419,2
1470,419,3
1471,417,2
1472,417,3
1473,406,2
1474,406,3
1475,402,2
1476,402,3
1477,400,2
1478,400,3
1479,411,2
1480,411,3
1481,401,2
1482,401,3
1483,414,2
1484,414,3
1485,415,2
1486,415,3
1487,408,1
1488,404,2
1489,404,3
1490,407,1
1491,407,2
1492,395,1
1493,416,2
1494,416,3
1495,393,2
1496,393,3
1497,418,1
1498,418,2
1499,418,3
1500,403,2
1501,403,3
1502,405,2
1503,405,3
1504,388,3
1505,389,3
1506,392,3
1507,384,3
1508,386,3
1509,387,3
1510,391,3
1511,390,3
1512,385,3
1513,394,2
1514,394,3
1515,413,1
1516,413,2
1517,412,1
1518,412,2
1519,412,3
1520,399,2
1521,399,3
1522,398,2
1523,398,3
1524,410,3
1525,409,2
1526,409,3
1527,419,1
1528,419,2
1529,419,3
1530,417,2
1531,417,3
1532,406,2
1533,406,3
1534,402,2
1535,402,3
1536,400,2
1537,400,3
1538,411,2
1539,411,3
1540,401,2
1541,401,3
1542,414,2
1543,414,3
1544,415,2
1545,415,3
1546,408,1
1547,404,2
1548,404,3
1549,407,1
1550,407,2
1551,395,1
1552,416,2
1553,416,3
1554,393,2
1555,393,3
1556,418,1
1557,418,2
1558,418,3
1559,432,2
1560,432,3
1561,431,2
1562,431,3
1563,430,1
1564,430,2
1565,430,3
1566,452,1
1567,452,2
1568,452,3
1569,435,2
1570,435,3
1571,440,2
1572,440,3
1573,451,1
1574,451,2
1575,451,3
1576,423,2
1577,423,3
1578,433,1
1579,433,2
1580,433,3
1581,445,2
1582,445,3
1583,443,2
1584,443,3
1585,429,2
1586,429,3
1587,442,3
1588,446,2
1589,446,3
1590,444,2
1591,444,3
1592,453,1
1593,453,2
1594,455,3
1595,454,3
1596,436,2
1597,436,3
1598,420,1
1599,439,1
1600,439,2
1601,439,3
1602,421,2
1603,421,3
1604,456,2
1605,449,2
1606,449,3
1607,450,2
1608,450,3
1609,427,1
1610,427,2
1611,427,3
1612,441,2
1613,441,3
1614,447,2
1615,447,3
1616,437,2
1617,437,3
1618,434,1
1619,434,2
1620,434,3
1621,424,2
1622,424,3
1623,448,2
1624,448,3
1625,426,2
1626,426,3
1627,432,2
1628,432,3
1629,431,2
1630,431,3
1631,430,1
1632,430,2
1633,430,3
1634,452,1
1635,452,2
1636,452,3
1637,435,2
1638,435,3
1639,440,2
1640,440,3
1641,451,1
1642,451,2
1643,451,3
1644,423,2
1645,423,3
1646,433,1
1647,433,2
1648,433,3
1649,445,2
1650,445,3
1651,443,2
1652,443,3
1653,429,2
1654,429,3
1655,442,3
1656,446,2
1657,446,3
1658,444,2
1659,444,3
1660,453,1
1661,453,2
1662,455,3
1663,454,3
1664,436,2
1665,436,3
1666,420,1
1667,439,1
1668,439,2
1669,439,3
1670,421,2
1671,421,3
1672,456,2
1673,449,2
1674,449,3
1675,450,2
1676,450,3
1677,427,1
1678,427,2
1679,427,3
1680,441,2
1681,441,3
1682,447,2
1683,447,3
1684,437,2
1685,437,3
1686,434,1
1687,434,2
1688,434,3
1689,424,2
1690,424,3
1691,448,2
1692,448,3
1693,426,2
1694,426,3
1695,484,1
1696,484,2
1697,484,3
1698,483,2
1699,483,3
1700,482,1
1701,480,1
1702,480,2
1703,479,1
1704,479,2
1705,479,3
1706,474,2
1707,474,3
1708,488,1
1709,488,2
1710,488,3
1711,481,2
1712,481,3
1713,458,3
1714,463,3
1715,462,3
1716,465,3
1717,466,2
1718,466,3
1719,468,2
1720,468,3
1721,469,2
1722,469,3
1723,467,2
1724,467,3
1725,470,2
1726,470,3
1727,472,2
1728,472,3
1729,489,1
1730,489,2
1731,489,3
1732,486,2
1733,486,3
1734,487,2
1735,487,3
1736,485,2
1737,485,3
1738,471,1
1739,471,2
1740,471,3
1741,464,3
1742,457,3
1743,459,3
1744,461,3
1745,460,3
1746,473,2
1747,473,3
1748,478,1
1749,478,2
1750,478,3
1751,475,2
1752,475,3
1753,490,2
1754,490,3
1755,477,1
1756,477,2
1757,477,3
1758,476,3
1759,484,1
1760,484,2
1761,484,3
1762,483,2
1763,483,3
1764,482,1
1765,480,1
1766,480,2
1767,479,1
