name,address,Address Line 2,Address Line 3,town,postcode,url
Bedford Borough Council - Register Office,Town Hall,Cauldwell Street,Bedford,,MK42 9AP,http://www.bedford.gov.uk/advice_and_benefits/registration_service.aspx
Buckinghamshire County Council - Register Office,County Hall,Walton Street,Aylesbury,,HP20 1XF,http://www.buckscc.gov.uk/registration/index.stm
Cambridgeshire County Council - Register Office,Shire Hall,Castle Hill,Cambridge,,CB3 0AP,http://www.cambridgeshire.gov.uk/community/bmd/
Cornwall Council - Register Office,County Hall,Treyew Road,Truro,,TR1 3AY,http://www.cornwall.gov.uk/registration
Cumbria County Council - Register Office,The Courts,English Street,Carlisle,,CA3 8NA,http://www.cumbria.gov.uk/registration/wheretofindus/default.asp
Derbyshire County Council - Register Office,County Hall,Matlock,,,DE4 3NN,http://www.derbyshire.gov.uk/community/births_marriages_deaths/
Devon County Council - Register Office,County Hall,Exeter,Devon,,EX2 4QD,http://www.devon.gov.uk/index/community/the_people/registration_districts_in_devon.htm
Dorset County Council - Register Office,County Hall,Colliton Park,Dorchester,,DT1 1XJ,http://www.dorsetforyou.com/index.jsp?articleid=384327
Durham Council - Register Office,40 Old Elvet,Durham City,,,DH1 3HN,http://www.durham.gov.uk/durhamcc/usp.nsf/pws/Registrar+-+Register+Office+locations+and+contact+details
East Sussex County Council - Register Office,County Hall,St. Annes Cresent,Lewes,,BN7 1UE,http://www.eastsussex.gov.uk/atoz/heading785.aspx?forms &acc 1&ae 1&ah 1&al 1&ar
Essex County Council - Register Office,17 Market Road,Chelmsford,,,CM1 1GF,http://www.essexcc.gov.uk/vip8/ecc/ECCWebsite/display/channels/births_marriages_deaths_channel_640771_Living/contacts/index.jsp
Gloucestershire County Council - Register Office,Shire Hall,Westgate Street,Gloucester,,GL1 2TG,http://www.gloucestershire.gov.uk/index.cfm?ArticleID=150
Hampshire County Council - Register Office,The Castle,Winchester,Hampshire,,SO23 8ZB,http://www3.hants.gov.uk/registration/registration-contact.htm
Hertfordshire County Council - Register Office,19b St Albans Road East,Hatfield,Hertfordshire,,AL10 0NG,http://www.hertsdirect.org/comdirectory/register/contactreg/
Kent County Council - Register Office,Invicta House,County Hall,Maidstone,,ME14 1XX,"http://www.kent.gov.uk/community_and_living/births,_deaths_and_ceremonies.aspx"
Lancashire County Council - Register Office,Bow Lane,PRESTON,,,PR1 8SE,http://www.lancashire.gov.uk/acs/sites/registration/contact/index.asp
Leicestershire County Council - Register Office,County Hall,Glenfield,Leicester,,LE3 8RN,http://www.leicestershire.gov.uk/registration_services
Lincolnshire County Council - Register Office,4 Lindum Road,Lincoln,,,LN2 1NN,http://www.lincolnshire.gov.uk/index.asp?catId=2944
Norfolk County Council - Register Office,Churchman House,71 Bethel Street,Norwich,,NR2 1NR,http://www.norfolk.gov.uk/consumption/idcplg?IdcService=SS_GET_PAGE&ssDocName=NCC006792&ssSourceNodeId=&ssTargetNodeId=54
Northamptonshire County Council - Register Office,Charles House,61-69 Derngate,Northampton,,NN1 1UE,http://www3.northamptonshire.gov.uk/Community/Registration/reg_home.htm
Northumberland Council - Register Office,94 New Gate Street,Morpeth,,,NE61 1BU,http://www.northumberland.gov.uk/register/register-office.asp
North Yorkshire County Council - Register Office,Bilton House,31 Park Parade,Harrogate,,HG1 5AG,http://www.northyorks.gov.uk/index.aspx?articleid=2849
Nottinghamshire County Council - Register Office,Fairdale House,47 Station Road,Carlton,,NG4 3AR,http://www.nottinghamshire.gov.uk/home/youandyourcommunity/registrars/registeroffices.htm
Oxfordshire County Council - Register Office,1 Tidmarsh Lane,Oxford,,,OX1 1NS,http://www.oxfordshire.gov.uk/registration
Shropshire Council - Register Office,Column Lodge,Preston Street,Shrewsbury,,SY2 5NY,http://www.shropshire.gov.uk/registrar.nsf/open/4F3206F3069D0B7780256D1E004B347D
Somerset County Council - Register Office,The Old Municipal Buildings,Corporation Street,Taunton,,TA1 4AQ,http://www.somerset.gov.uk/somerset/resources/registrationservice/registerofficesandopeninghours/
Staffordshire County Council - Register Office,79 Eastgate Street,Stafford,Staffordshire,,ST16 2NG,http://www.staffordshire.gov.uk/community/lifeevents/home.aspx
Suffolk County Council - Register Office,St Peter House,16 Grimwade Street,Ipswich,,IP4 1LP,http://www.suffolkcc.gov.uk/registerservice/other/about_suff_reg_off_grph.html
Surrey County Council - Register Office,County Hall,Penrhyn Road,Kingston upon Thames,,KT1 2DN,http://www.surreycc.gov.uk/sccwebsite/sccwspages.nsf/LookupWebPagesByTITLE_RTF/District+register+offices?opendocument
Warwickshire County Council - Register Office,Shire Hall,Warwick,,,CV34 4RR,http://www.warwickshire.gov.uk/Web/corporate/pages.nsf/links/55694AAF0C0A93D3802573840040895D 
West Sussex County Council - Register Office,County Hall,West Street,Chichester,,PO19 1RQ,http://www.westsussex.gov.uk/ccm/content/births-deaths-and-marriages/register-offices.en
Wiltshire Council - Register Office,The Chestnuts,Bythesea Road,Trowbridge,,BA14 8EZ,http://www.wiltshire.gov.uk/registration-office-contact-details.htm
Worcestershire County Council - Register Office,County Hall,Spetchley Road,Worcester,,WR5 2NP,http://worcestershire.whub.org.uk/home/wcc-mas-proper-officer-functions.htm
Isles of Scilly - Register Office,Town Hall ,St Mary's ,Isles of Scilly ,,TR21 0LW ,http://www.scilly.gov.uk/community/
Cheshire East Council - Register Office,Town Hall,Macclesfield ,,,SK10 1DP,http://www.cheshireeast.gov.uk/Default.aspx
Cheshire West and Chester Council - Register Office,County Hall,Chester,Cheshire,,CH1 1SF,http://www.cheshirewestandchester.gov.uk/community_and_living/int_registration.aspx
Central Bedfordshire Council - Register Office,Priory House,Monks Walk,Chicksands,,SG17 5TQ,http://www.centralbedfordshire.gov.uk/community-and-living/registration/
City of London - Register Office,Milton Court [Ground Floor],Moor Lane,London,,EC2Y 9BJ,http://www.cityoflondon.gov.uk/Corporation/LGNL_Services/Community_and_living/
London Borough of Barking and Dagenham - Register Office,198 Longbridge Road,Barking,,,IG11 8SY,http://www.barking-dagenham.gov.uk/8-leisure-envir/bdm-reg/bdm-menu.html
London Borough of Barnet - Register Office,182 Burnt Oak Broadway,Edgware, Middlesex,,HA8 0AU,http://www.registeroffice.barnet.gov.uk
London Borough of Bexley - Register Office,Manor House,The Green,Sidcup,,DA14 6BW,http://www.bexley.gov.uk/service/registrars/index.html
London Borough of Brent - Register Office,Brent Town Hall,Forty Lane,Wembley,,HA9 9HD,http://www.brent.gov.uk/registrar.nsf
London Borough of Bromley - Register Office,Civic Centre,Stockwell Close,Bromley ,,BR1 3UH,http://www.bromley.gov.uk/community/BirthsDeathsMarriagesPartnerships/brom_registration_service.htm
London Borough of Camden - Register Office,Camden Town Hall,Judd Street,London,,WC1H 9JE,http://www.camden.gov.uk/ccm/navigation/community-and-living/births--deaths-and-marriages/
London Borough of Croydon - Register Office,Croydon Register Office,Mint Walk,Croydon,,CR0 1EA,http://www.croydon.gov.uk/community/registeroffice/
London Borough of Ealing - Register Office,Town Hall,New Broadway,Ealing,,W5 2BY,http://www.ealing.gov.uk/services/community/births_deaths_marriages/
London Borough of Enfield - Register Office,1 Gentlemans Row,Enfield,,,EN2 6PS,http://www.enfield.gov.uk/319/index319.htm
London Borough of Greenwich - Register Office,Town Hall,Wellington Street,Woolwich,,SE18 6PW,http://www.greenwich.gov.uk/Greenwich/CommunityLiving/BirthsDeathsMarriages/
London Borough of Hackney - Register Office,Ground Floor,Hackney Town Hall,Mare Street,,E8 1EA,http://www.hackney.gov.uk/print/lr-registrars
London Borough of Hammersmith & Fulham - Register Office,Fulham Town Hall,Harwood Road,,,SW6 1ET,http://www.lbhf.gov.uk/Directory/Community_and_Living/Birth_marriage_and_death/
London Borough of Haringey - Register Office,Civic Centre,High Road,Wood Green,,N22 8LE,http://www.haringey.gov.uk/sq/services/bdm.htm
London Borough of Harrow - Register Office,Civic Centre,Station Road,Harrow,,HA1 2XF,http://www.harrow.gov.uk/site/scripts/documents.php?categoryID=100003
London Borough of Havering - Register Office,Langtons House,Billet Lane,Hornchurch,,RM11 1XL,http://www.havering.gov.uk/index.cfm?articleid=2435&contactid=2404
London Borough of Hillingdon - Register Office,Civic Centre,High Street,Uxbridge,,UB8 1UW,http://www.hillingdon.gov.uk/index.jsp?articleid=9657
London Borough of Hounslow - Register Office,88 Lampton Road,Hounslow,,,TW3 4DW,http://www.hounslow.gov.uk/index/community_and_living.htm
London Borough of Islington - Register Office,Islington Town Hall,Upper Street,London,,N1 2UD,http://www.islington.gov.uk/Community/birthsdeathsandmarriages/default.asp
Royal Borough of Kensington and Chelsea - Register Office,Chelsea Old Town Hall,Kings Road,London,,SW3 5EE,http://www.rbkc.gov.uk/BirthsDeathsAndMarriages/General/default.asp
London Borough of Kingston upon Thames - Register Office,35 Coombe Road,Kingston upon Thames,,,KT2 7BA,"http://www.kingston.gov.uk/community,_people_and_living/rbdm.htm"
London Borough of Lambeth - Register Office,Lambeth Town Hall,London,,,SW2 1RW,http://www.lambeth.gov.uk/Services/CommunityLiving/CivilCeremonies/RegisterOffice.htm
London Borough of Lewisham - Register Office,368 Lewisham High Street,London,,,SE13 6LQ,http://www.lewisham.gov.uk/CommunityAndLiving/BirthsDeathsAndMarriages/
London Borough of Merton - Register Office,Morden Park House,London Road,Morden,,SM4 5QU,http://www.merton.gov.uk/register/
London Borough of Newham - Register Office,207 Plashet Grove,East Ham,London,,E6 1BT,http://www.newham.gov.uk/Services/RegisterOffice/intouch.htm 
London Borough of Redbridge - Register Office,Queen Victoria House,794 Cranbrook Road,Ilford,,IG6 1JS,http://www.redbridge.gov.uk/cms/a_to_z_of_services/r/register_office.aspx
London Borough of Richmond upon Thames - Register Office,1 Spring Terrace,Richmond,Surrey,,TW9 1LW,http://www.richmond.gov.uk/home/community_and_living/birth_marriage_and_death.htm
London Borough of Southwark - Register Office,34 Peckham Road,London,,,SE5 8QA,http://www.southwark.gov.uk/YourServices/BirthsDeathsMarriages/
London Borough of Sutton - Register Office,Russettings,25 Worcester Road,Sutton,,SM2 6PR,http://www.sutton.gov.uk/index.aspx?articleid=3555
London Borough of Tower Hamlets - Register Office,Bromley Public Hall,Bow Road,London,,E3 3AA,"http://www.towerhamlets.gov.uk/lgnl/advice_and_benefits/births,_marriages_and_deaths.aspx"
London Borough of Waltham Forest - Register Office,106 Grove Road,Walthamstow,,,E17 9BY,http://www.walthamforest.gov.uk/register-office.htm
London Borough of Wandsworth - Register Office,Wandsworth High Street,,,,SW18 2PU,http://www.wandsworth.gov.uk/Home/CommunityServices/RegisterOffice/default.htm 
London Borough of Westminster - Register Office,Westminster Council House,Marylebone Road,London,,NW1 5PT,http://www.westminster.gov.uk/communityandliving/registrar/
Bolton Metropolitan Borough Council - Register Office,Mere Hall,Merehall Street,Bolton,,BL1 2QT,http://www.bolton.gov.uk
Bury Metropolitan Borough Council - Register Office,Town Hall,Manchester Road,Bury,,BL9 0SW,http://www.bury.gov.uk/LifeEvents/Default.htm
Manchester City Council - Register Office,Heron House,47 Lloyd Street,Manchester,,M2 5LE,http://www.manchester.gov.uk/registrars/
Oldham Metropolitan Borough Council - Register Office,Chadderton Town Hall,Middleton Road,Oldham,,OL9 6PP,http://www.oldham.gov.uk/a-z_of_services/cs-registrars.htm 
Rochdale Metropolitan Borough Council - Register Office,Town Hall,Vicars Gate,Rochdale,,OL16 1AB,http://www.rochdale.gov.uk/community_and_living/births/birth_-_historical_searches.aspx
Salford City Council - Register Office,Salford Civic Centre ,Chorley Road,Swinton,,M27 5DA,http://www.salford.gov.uk/bmd.htm 
Stockport Metropolitan Borough Council - Register Office,Town Hall,John Street Entrance,Stockport,,SK1 3XE,http://www.stockport.gov.uk/services/communitypeopleliving/birthsmarriagesdeaths/stockportregisteroffice/?view Standard
Tameside Metropolitan Borough Council - Register Office,Dukinfield Town Hall,King Street,Dukinfield,,SK16 4LA,http://www.tameside.gov.uk/tmbc2/registrarsoffice.htm 
Trafford Metropolitan Borough Council - Register Office,Sale Town Hall,Sale Waterside,Sale,,M33 7ZF,http://www.trafford.gov.uk/CommunityAndLiving
Wigan Metropolitan Borough Council - Register Office,Town Hall,Library Street,Wigan,,WN1 1YN,http://www.wigan.gov.uk/Services/CommunityLiving/BirthsDeathsMarriages/
Knowsley Metropolitan Borough Council - Register Office,High Street,Prescot,Knowsley,,L34 3LH,"http://www.knowsley.gov.uk/residents/births,-deaths,-and-marriages.aspx"
Liverpool City Council - Register Office,The Cotton Exchange,Old Hall Street,Liverpool,,L3 9UF,http://www.liverpool.gov.uk/registrars_office/index.asp
St Helens Metropolitan Borough Council - Register Office,Central Street,St. Helens,,,WA10 1UJ,http://www.sthelens.gov.uk/CMSWEB/item.do?parentID=100001&category=200010&itemid=319
Sefton Metropolitan Borough Council - Register Office,Corporation Street,Southport,,,PR8 1DA,http://www.sefton.gov.uk/Default.aspx?page=1746
Wirral Council - Register Office,Town Hall,Brighton Street,Wallasey,,CH44 8ED,http://www.wirral.gov.uk/LGCL/100003/
Barnsley Metropolitan Borough Council - Register Office,Church Street,Barnsley,,,S70 2TA,http://www.barnsley.gov.uk/bguk/Community/Registrars
Doncaster Metropolitan Borough Council - Register Office,Elmfield Park,South Parade,Doncaster,,DN1 2EB,http://www.doncaster.gov.uk/Living_in_Doncaster/Life_Events/Life_Events.asp?lifeevents
Rotherham Metropolitan Borough Council - Register Office,Bailey House,Rawmarsh Road,Rotherham,,S60 1TX,http://www.rotherham.gov.uk/graphics/YourCouncil/Register+Office/ 
Sheffield City Council - Register Office,Town Hall,Pinstone Street,Sheffield,,S1 2HH,http://www.sheffield.gov.uk/your-city-council/register-office
Gateshead Metropolitan Borough Council - Register Office,Gateshead Civic Centre,Regent Street,Gateshead,,NE8 1HH,http://www.gateshead.gov.uk/People%20and%20Living/marriages/Home.aspx
Newcastle-upon-Tyne City Council - Register Office,Civic Centre,Newcastle Upon Tyne,,,NE1 8PS,http://www.newcastle.gov.uk/registrars.nsf/a/homepage?opendocument 
North Tyneside Metropolitan Borough Council - Register Office,Maritime Chambers,1 Howard Street,North Shields,,NE30 1LZ,http://www.northtyneside.gov.uk/browse.shtml?p_subjectCategory=366
South Tyneside Council - Register Office,10 Broughton Road,South Shields,,,NE33 2RN,http://www.southtyneside.info/communitysupport/register/default.asp
Sunderland City Council - Register Office,Civic Centre,Sunderland,,,SR2 7DN,http://www.sunderland.gov.uk/Public/Editable/Life-Episodes/BDM/birth/opening_hours.asp?AltCrumb=When%20can%20I%20register%20the%20birth?
Birmingham City Council - Register Office,Holiday Wharf,Holiday Street,Birmingham,,B1 1TJ ,http://www.birmingham.gov.uk/registeroffice.bcc
Coventry City Council - Register Office,Cheylesmore Manor House,Manor House Drive,Coventry,,CV1 2ND,http://www.coventry.gov.uk/ccm/navigation/council--government-and-democracy/council/register-office/
Dudley Metropolitan Borough Council - Register Office,Priory Hall,Priory Park,Dudley,,DY1 4EU,http://www.dudley.gov.uk/community-and-living/registration-service
Sandwell Metropolitan Borough Council - Register Office,Highfields,High Street,West Bromwich,,B70 8RJ,http://www.laws.sandwell.gov.uk/ccm/navigation/community-and-living/life-events/
Solihull Metropolitan Borough Council - Register Office,Library Square,Solihull,,,B91 9RG,http://www.solihull.gov.uk/community/default.htm
Walsall Metropolitan Borough Council - Register Office,Civic Centre,Hatherton Road,Walsall,,WS1 1TN,http://www.walsall.gov.uk/index/community_and_living.htm
Wolverhampton City Council - Register Office,Civic Centre,St. Peter's Square,Wolverhampton,,WV1 1RU,http://www.wolverhampton.gov.uk/community_living/life_events/
Bradford Metropolitan District Council - Register Office,22 Manor Row,Bradford,,,BD1 4QR,http://www.bradford.gov.uk/information_and_communication/information_management/register_office/
Calderdale Metropolitan Borough Council - Register Office,4 Carlton Street,Halifax,,,HX1 2AH,http://www.calderdale.gov.uk/advice/life-events/register-office/certificate-fee.html
Kirklees Metropolitan Borough Council - Register Office,11 High Street,Huddersfield,,,HD1 2PL,http://www.kirklees.gov.uk/registeroffices 
Leeds City Council - Register Office,Leeds Town Hall,The Headrow,Leeds,,LS1 3AD,http://www.leeds.gov.uk/register 
Wakefield Metropolitan District Council - Register Office,71 Northgate,Wakefield,,,WF1 3BS,http://www.wakefield.gov.uk/CommunityAndLiving/Registrars/default.htm
Hartlepool Borough Council - Register Office,Civic Centre,Victoria Road,Hartlepool,,TS24 8AY,http://www.hartlepool.gov.uk/registeroffice/
Middlesbrough Borough Council - Register Office,Town Hall,Middlesbrough,,,TS1 2QQ,http://www.middlesbrough.gov.uk/theme/middlesbrough/ccm/navigation/community-and-living/life-events/
Redcar and Cleveland Council - Register Office,88 Westgate,Guisborough,,,TS14 6AP,http://www.redcar-cleveland.gov.uk/main.nsf/Web+Full+List/83B0816617AEFD7580257059004CABE2?OpenDocument
Stockton-on-Tees Borough Council - Register Office,Balaclava Street,Stockton-on-Tees,,,TS18 2AL,http://www.stockton.gov.uk/citizenservices/registeroffice/
Darlington Borough Council - Register Office,Backhouse Hall,Bull Wynd,Darlington,,DL1 5RG,http://www.darlington.gov.uk/Legal+Services/Register+Office/Register+Office.htm
Halton Borough Council - Register Office,Town Hall,Heath Road,Runcorn,,WA7 5TN,http://www2.halton.gov.uk/content/communityandliving/lifeevents/registration/?a=5441
Warrington Borough Council - Register Office,Museum Street,Warrington,,,WA1 1JX,http://www.warrington.gov.uk/Adviceandbenefits/Communityadvice/registrars.aspx
Blackburn with Darwen Borough Council - Register Office,King George's Hall,Northgate,Blackburn,,BB2 1AA,http://www.blackburn.gov.uk/server.php?show=ConWebDoc.13973
Blackpool Borough Council - Register Office,South King Street,Blackpool,,,FY1 4AX,http://www.blackpool.gov.uk/CommunityandLiving/
Kingston-upon-Hull City Council - Register Office,181  191 George Street,Hull,,,HU1 3BY,"http://www.hullcc.gov.uk/portal/page?_pageid=221,52464&_dad=portal&_schema=PORTAL"
East Riding of Yorkshire Council - Register Office,County Hall,Cross Street,Beverley ,,HU17 9BA,http://www.eastriding.gov.uk/atoz/details.aspx?id=78
North East Lincolnshire Council - Register Office,Town Hall Square,Grimsby,North East Lincolnshire,,DN31 1HX,http://www.nelincs.gov.uk/Community/BirthsDeathsandMarriageRegistration/ 
North Lincolnshire Council - Register Office,92 Oswald Road,Scunthorpe,North Lincolnshire,,DN15 7PA,http://www.northlincs.gov.uk/NorthLincs/Communitypeopleandliving/birthsdeathsmarriage/OpeningHours/
York City Council - Register Office,56 Bootham,York,,,YO30 7DA,http://www.york.gov.uk/register/
Derby City Council - Register Office,Royal Oak House,Market Place,Derby,,DE1 3AR,http://www.derby.gov.uk/CommunityLiving/LifeEvents/Births
Leicester City Council - Register Office,Town Hall,Town Hall Square,Leicester,,LE1 9BG,http://www.leicester.gov.uk/departments/page.asp?pgid=892
Rutland County Council - Register Office,Catmose Cottage,South Street,Rutland,,LE15 6HY,http://www.rutnet.co.uk/pp/gold/viewgold.asp?id=847
Nottingham City Council - Register Office,50 Shakespeare Street,Nottingham,,,NG1 4FP,http://www.nottinghamcity.gov.uk/index.aspx?articleid=2341 
Herefordshire Council - Register Office,Town Hall,St Owen's Street,Hereford,,HR1 2PJ,http://www.herefordshire.gov.uk/community_and_living/life_events/1298.asp
Telford & Wrekin Council - Register Office,The Beeches,29 Vineyard Road,Telford,,TF1 1HB,http://www.telford.gov.uk/Community+living/Births/
Stoke-on-Trent City Council - Register Office,Albion Street,Hanley,Stoke-on-Trent,,ST1 1QQ,http://www.stoke.gov.uk/ccm/navigation/community--people-and-living/births--deaths--marriages-and-citizenship/registration-births-and-deaths/
Bath & North East Somerset Council - Register Office,The Guildhall,High Street,Bath,,BA1 5AW,http://www.bathnes.gov.uk/BathNES/communityandliving/localoffices.htm
Bristol City Council - Register Office,The Old Council House,Corn Street,Bristol,,BS1 1JG,http://www.bristol-city.gov.uk/ccm/content/Community-Living/Marriages/register-office-births-marriages-and-deaths.en
North Somerset District Council - Register Office,41 Boulevard,Weston-super-Mare,,,BS23 1PG,http://www.n-somerset.gov.uk/Community/Births+deaths+marriages+and+life+events/
South Gloucestershire Council - Register Office,Castle Street,Thornbury,,,BS35 1HF,http://www.southglos.gov.uk/Communities/BirthDeathMarriage/
Plymouth City Council - Register Office,Lockyer Street,Plymouth ,,,PL1 2QD,"http://www.plymouth.gov.uk/homepage/yourcouncil/community,_people_and_living/registeroffice.htm "
Torbay Council - Register Office,Oldway Mansion,Torquay Road,Paignton,,TQ3 2TE,http://www.torbay.gov.uk/register-office
Bournemouth Borough Council - Register Office,Town Hall,Bourne Avenue,Bournemouth,,BH2 6DY,http://www.bournemouth.gov.uk/Residents/births/default.asp
Borough of Poole - Register Office,The Guildhall,Market Street,Poole,,BH15 1NP,http://www.boroughofpoole.com/go.php?structureID=categories&ref=C464833988B297
Swindon Borough Council - Register Office,Aspen House,Temple Street,Swindon,,SN1 1SQ,http://www.swindon.gov.uk/publicservices/public-registration/community-registrationopeningtimes.htm 
Peterborough City Council - Register Office,33 Thorpe Road,Peterborough,,,PE3 6AB,http://www.peterborough.gov.uk/reg
Luton Borough Council - Register Office,6 George Street West,Luton,,,LU1 2BJ,http://www.luton.gov.uk/internet/community_and_living/life_events
Southend-on-Sea Borough Council - Register Office,Civic Centre,Victoria Avenue,Southend-on-Sea,,SS2 6ER,http://www.southend.gov.uk/content.asp?section=575
Thurrock Council - Register Office,Thameside Complex,Orsett Road,Grays,,RM17 5DX,http://www.thurrock.gov.uk/legal/register/ 
Medway Council - Register Office,Northgate,Rochester,Kent,,ME1 1LS,http://www.medway.gov.uk/index/community/registeroffice.htm
Bracknell Forest Council - Register Office,Easthampstead House,Town Square,Bracknell,,RG12 1AQ,http://www.bracknell-forest.gov.uk/living/liv-births-deaths-and-marriages.htm
West Berkshire Council - Register Office,Shaw House,Church Road,Newbury,,RG14 2DR,http://www.westberks.gov.uk/index.aspx?articleid=4033
Reading Borough Council - Register Office,Yeomanry House,131 Castle Hill,Reading,,RG1 7TA,http://www.reading.gov.uk/communityandliving/registrar/
Slough Borough Council - Register Office,The Centre,Farnham Road,Slough,,SL1 4UT,http://www.slough.gov.uk/services/797.asp
Royal Borough of Windsor and Maidenhead - Register Office,Town Hall,St. Ives Road,Maidenhead,,SL6 1RF,http://www.rbwm.gov.uk/community_living.htm
Wokingham District Council - Register Office,The Old School,Reading Road,Wokingham,,RG41 1RJ,http://www.wokingham.gov.uk/community-living/births-deaths-and-marriages
Milton Keynes - Register Office,Bracknell House,Aylesbury Street,Bletchley,,MK2 2BE,http://www.mkweb.co.uk/registrars/home.asp 
Brighton & Hove City Council - Register Office,Town Hall,Bartholomew Square,Brighton,,BN1 1JA,http://www.brighton-hove.gov.uk/site01.cfm?request=b1113986
Portsmouth City Council - Register Office,Milldam House,Burnaby Road,Portsmouth,,PO1 3AF,http://www.portsmouth.gov.uk/living/22.html
Southampton City Council - Register Office,6a Bugle Street,Southampton,,,SO14 2LX,http://www.southampton.gov.uk/people/lifeevents/default.asp#0
Isle of Wight Council - Register Office,Northwood House,Ward Avenue,Cowes,,PO31 8AZ,http://www.iwight.com/living_here/births_deaths_marriages/default.asp
Isle of Anglesey County Council - Register Office,Shire Hall,Glanhwfa Road,Llangefni,,LL77 7TW,http://www.anglesey.gov.uk/doc.asp?cat=2573
Gwynedd County Council - Register Office,Swyddfa Arfon,Caernarfon,Gwynedd,,LL55 1BN,http://www.gwynedd.gov.uk/gwy_doc.asp?cat=3440&doc=13090&Language=1
Conwy County Borough Council - Register Office,Lloyd Street,Llandudno,Conwy,,LL30 2UP,http://www.conwy.gov.uk/dratozdetail.asp?cat=112&doc=1119&azkey=r&offset=10&azid=403 
Denbighshire County Council - Register Office,Morfa Clwyd,Marsh Road,Rhyl,,LL18 2AF,http://www.denbighshire.gov.uk/en-gb/DNAP-74ZLKD
Flintshire County Council - Register Office,Llwynegrin Hall,Mold,Flintshire,,CH7 6NW,http://www.flintshire.gov.uk/wps/portal/english/services?WCM_GLOBAL_CONTEXT=/Web%20Content/flintshire/english/services/100003/200067/llwynegrin+hall+register+office
Wrexham County Borough Council - Register Office,Ty Dewi Sant,Rhosddu Road,Wrexham,,LL11 1NF,http://www.wrexham.gov.uk/english/life_events/bereavement/register_office.htm 
Powys County Council - Register Office,County Hall,Spa Road East,Powys,,LD1 5LG,http://www.powys.gov.uk/index.php?id=39&L=0
Ceredigion County Council - Register Office,Town Hall,Aberystwyth,Ceredigion,,SA46 0PA,http://www.ceredigion.gov.uk/index.cfm?articleid=116&detailid=671
Pembrokeshire County Council - Register Office,Tower Hill,Haverfordwest,,,SA61 1SS,http://www.pembrokeshire.gov.uk/content.asp?nav=&id=6038&Positioning_Article_ID=&Language=&parent_directory_id=516&d1=0 
Carmarthenshire County Council - Register Office,Parc Myrddyn,Richmond Terrace,Carmarthen,,SA31 1DS,http://www.carmarthenshire.gov.uk/Pages/default.aspx 
Swansea City and Borough Council - Register Office,Civic Centre,Oystermouth Road,Swansea,,SA1 3SN,http://www.swansea.gov.uk/index.cfm?articleid=1458&contactid=2150 
Neath Port Talbot County Borough Council - Register Office,119 London Road,Neath,,,SA11 1HL,http://www.npt.gov.uk/registrars/index.cfm
Bridgend County Borough Council - Register Office,Civic Offices,Angel Street,Bridgend,,CF31 4WB,http://www.bridgend.gov.uk/Web1/groups/public/documents/services/000856.hcsp#TopOfPage
Vale of Glamorgan Council - Register Office,Civic Offices,Holton Road,Barry,,CF63 4RU,http://www.valeofglamorgan.gov.uk/living/life_in_the_community/registry_-_life_events.aspx
Rhondda Cynon Taff County Borough Council - Register Office,One 4 All Centre,Rock Grounds,Aberdare,,CF44 7AE,http://www.rhondda-cynon-taff.gov.uk/stellent/groups/public/documents/hcst/landing_page.hcst?lang=en&textonly=false&xNodeID=100003
Merthyr Tydfil County Borough Council - Register Office,Castle House,Glebeland Street,Merthyr Tydfil,,CF47 8AT,http://www.merthyr.gov.uk/Home/Local+Services/Registrars+Births+Deaths+Marriages/Contact+Us.htm
Caerphilly County Borough Council - Register Office,Penallta House,Tredomen Park,Hengoed,,CF82 7PG,http://www.caerphilly.gov.uk/registration/ 
Blaenau Gwent County Borough Council - Register Office,The Grove,Church Street,Tredegar,,NP22 3DS,http://www.blaenau-gwent.gov.uk/community.asp
Torfaen County Borough Council - Register Office,Hanbury Road,Pontypool,,,NP4 6YG,http://www.torfaen.gov.uk/CommunityAndLiving/Home.aspx
Monmouthshire County Council - Register Office,Coed Glas,Coed Glas Lane,Abergavenny,,NP7 5LE,http://www.monmouthshire.gov.uk/Monmouth/English/Community_and_Living/Community/Births/ 
Newport City Council - Register Office,8 Gold Tops,Newport,South Wales,,NP20 4PH,http://www.newport.gov.uk/_dc/index.cfm?fuseaction=registrars.homepage
Cardiff Council - Register Office,48 Park Place,Cardiff,,,CF10 3LU,"http://www.cardiff.gov.uk/content.asp?Parent_Directory_id=2865&nav=2867,2903,2915,4451"
